GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
easyapp,jar.core,Result,158,0,24,0,4,0,23,0,11,0
easyapp,jar.handler,SessionInterceptor,14,0,2,0,5,0,3,0,2,0
easyapp,jar.handler,GlobalExceptionHandler,67,0,0,0,17,0,5,0,5,0
easyapp,jar.handler,HttpErrorController,32,0,0,0,8,0,4,0,4,0
easyapp,jar.handler,MyResponseBodyAdvice,29,0,6,0,9,0,6,0,3,0
easyapp,jar.config,AutoConfiguration,3,0,0,0,1,0,1,0,1,0
easyapp,jar.config,WebConfig,5,0,0,0,3,0,3,0,3,0
easyapp,jar.config,AppConfig,33,0,6,0,1,0,8,0,5,0
easyapp,jar.util,EncryptUtil,77,0,0,0,16,0,5,0,5,0
easyapp,jar.util,SessionUtils,18,0,0,0,6,0,3,0,3,0
easyapp,jar,Application,8,0,0,0,3,0,2,0,2,0
